type,venue,year
manuscript,Genome Medicine,2022
manuscript,Nature Methods,2022
manuscript,Nature Communications,2022
manuscript,F1000,2023
manuscript,Cell Systems,2023
manuscript,Cell Reports Methods,2023
manuscript,Nature Methods,2023
manuscript,Nature Communications,2023
manuscript,Molecular Systems Biology,2023
manuscript,Genome Medicine,2023
manuscript,BMC Genomics,2023
manuscript,Science Advances,2023
manuscript,Nature Microbiology,2023
manuscript,Cell Genomics,2024
manuscript,Cell Systems,2024
manuscript,Cell Reports Methods,2024
manuscript,Nature Methods,2024
manuscript,Scientific Reports,2024
manuscript,Scientific Data,2024
manuscript,Molecular Systems Biology,2024
manuscript,Genome Medicine,2024
manuscript,Science Advances,2024
manuscript,Genome Biology,2024
manuscript,Inflammation Research,2025
manuscript,Genome Biology,2025
manuscript,Bioinformatics,2025
manuscript,Genome Medicine,2025
manuscript,Cell and Molecular Biology Letters,2025
manuscript,Frontiers Aging,2025
manuscript,Nature Biomedical Engineering,2026
grant,UKRI,2024
grant,UKRI,2024
grant,ISF,2025
grant,ERC,2026
